video_id,timestamp,car_id,car_box,plate_box,transcript,confidence
./data/sample.mp4,174,6.0,"[994, 1333, 1692, 1864]","[1243, 1670, 1436, 1752]",GX15OGJ,0.22621270246108616
./data/sample.mp4,175,6.0,"[993, 1334, 1692, 1866]","[1243, 1670, 1436, 1753]",GX15OGJ,0.22621270246108616
./data/sample.mp4,176,6.0,"[990, 1336, 1691, 1871]","[1245, 1673, 1438, 1756]",GX15OGJ,0.3653031687436032
./data/sample.mp4,177,6.0,"[988, 1339, 1690, 1875]","[1234, 1676, 1436, 1761]",GX15OGJ,0.2828358000142715
./data/sample.mp4,178,6.0,"[986, 1342, 1690, 1879]","[1238, 1682, 1431, 1765]",GX15OGJ,0.25996191232411897
./data/sample.mp4,180,6.0,"[982, 1349, 1690, 1887]","[1229, 1686, 1428, 1772]",GX15OGJ,0.2554907293751179
./data/sample.mp4,200,6.0,"[952, 1405, 1679, 1961]","[1198, 1747, 1420, 1837]",GX15OCJ,0.41701493680192364
./data/sample.mp4,202,6.0,"[945, 1414, 1677, 1971]","[1201, 1765, 1414, 1848]",GY15OCJ,0.4248691595114935
./data/sample.mp4,204,6.0,"[938, 1423, 1674, 1982]","[1210, 1772, 1406, 1856]",GY15OCJ,0.46337629327948476
./data/sample.mp4,205,6.0,"[935, 1424, 1674, 1984]","[1210, 1772, 1406, 1856]",GY15OCJ,0.46337629327948476
./data/sample.mp4,208,5.0,"[2023, 1106, 2585, 1546]","[2223, 1369, 2429, 1464]",AP05JEO,0.29730588420642395
./data/sample.mp4,209,6.0,"[929, 1436, 1674, 1999]","[1193, 1787, 1360, 1871]",GX15UGJ,0.08804267574420632
./data/sample.mp4,211,6.0,"[926, 1441, 1673, 2004]","[1187, 1790, 1370, 1877]",GX15OGJ,0.262360139807827
./data/sample.mp4,212,6.0,"[924, 1445, 1673, 2007]","[1185, 1794, 1404, 1889]",GY15OGJ,0.2971057188614795
./data/sample.mp4,214,6.0,"[920, 1452, 1671, 2017]","[1192, 1802, 1391, 1896]",GY15OCJ,0.2595866837452238
./data/sample.mp4,215,6.0,"[918, 1456, 1669, 2022]","[1190, 1809, 1400, 1898]",GY15OGJ,0.27220127738103717
./data/sample.mp4,216,6.0,"[917, 1461, 1669, 2028]","[1197, 1817, 1395, 1903]",GX15OGJ,0.46526144609984504
./data/sample.mp4,217,6.0,"[916, 1463, 1669, 2031]","[1197, 1817, 1395, 1903]",GX15OGJ,0.46526144609984504
./data/sample.mp4,218,6.0,"[915, 1465, 1667, 2034]","[1168, 1817, 1392, 1911]",GY15OGJ,0.28700157118848435
./data/sample.mp4,219,6.0,"[914, 1469, 1666, 2039]","[1173, 1824, 1385, 1916]",GY15OGJ,0.2246530419630098
./data/sample.mp4,220,6.0,"[913, 1474, 1666, 2046]","[1182, 1831, 1385, 1925]",GY15OCJ,0.28985763514220325
./data/sample.mp4,220,5.0,"[2023, 1125, 2599, 1572]","[2222, 1399, 2425, 1485]",AP05JEO,0.5473044028820837
./data/sample.mp4,221,6.0,"[911, 1477, 1665, 2051]","[1182, 1833, 1384, 1926]",GY15OGJ,0.4188550553446288
./data/sample.mp4,221,5.0,"[2022, 1126, 2599, 1574]","[2214, 1400, 2367, 1483]",AF05JEO,0.31561186763633575
./data/sample.mp4,221,5.0,"[2022, 1126, 2599, 1574]","[2217, 1401, 2432, 1487]",AF05JEO,0.3438545372389867
./data/sample.mp4,222,6.0,"[908, 1480, 1664, 2056]","[1180, 1838, 1384, 1931]",GY15OGJ,0.5039871350849255
./data/sample.mp4,223,6.0,"[906, 1481, 1664, 2058]","[1180, 1838, 1384, 1932]",GY15OGJ,0.5310803530032087
./data/sample.mp4,224,6.0,"[905, 1483, 1663, 2063]","[1160, 1840, 1383, 1935]",GX15OCJ,0.30554272832107854
./data/sample.mp4,225,6.0,"[903, 1487, 1663, 2069]","[1172, 1846, 1381, 1940]",GX15OCJ,0.7136291257042947
./data/sample.mp4,226,6.0,"[901, 1492, 1662, 2075]","[1170, 1860, 1386, 1945]",GX15OGJ,0.42705803290850636
./data/sample.mp4,227,6.0,"[900, 1496, 1663, 2082]","[1175, 1865, 1344, 1943]",GX15OGJ,0.5186596165032626
./data/sample.mp4,228,6.0,"[898, 1499, 1662, 2086]","[1160, 1865, 1382, 1963]",GX15OGJ,0.47221991553183107
./data/sample.mp4,229,6.0,"[896, 1499, 1662, 2088]","[1160, 1865, 1382, 1962]",GX15OGJ,0.47221991553183107
./data/sample.mp4,230,6.0,"[894, 1501, 1661, 2091]","[1156, 1871, 1383, 1963]",GX15OGJ,0.383815314323684
./data/sample.mp4,230,5.0,"[2021, 1137, 2605, 1597]","[2220, 1426, 2428, 1512]",AF05JRO,0.170726136232617
./data/sample.mp4,231,6.0,"[892, 1507, 1660, 2096]","[1158, 1873, 1382, 1971]",GX15OGJ,0.2841913275606228
./data/sample.mp4,231,5.0,"[2020, 1139, 2604, 1599]","[2226, 1419, 2427, 1508]",AF05JEO,0.2903965435265077
./data/sample.mp4,232,6.0,"[889, 1511, 1659, 2100]","[1155, 1882, 1380, 1974]",GX15OGJ,0.40145688519127526
./data/sample.mp4,232,5.0,"[2020, 1141, 2604, 1601]","[2225, 1425, 2434, 1510]",AF05JEO,0.24029370156333452
./data/sample.mp4,233,6.0,"[887, 1515, 1658, 2106]","[1158, 1887, 1379, 1976]",GR15OGJ,0.2000156897134422
./data/sample.mp4,233,5.0,"[2019, 1143, 2602, 1604]","[2229, 1429, 2437, 1513]",AF05JEO,0.3566073840401899
./data/sample.mp4,235,6.0,"[882, 1521, 1658, 2112]","[1151, 1887, 1383, 1985]",GY15OGJ,0.17540580050402751
./data/sample.mp4,236,6.0,"[881, 1523, 1659, 2114]","[1152, 1890, 1328, 1981]",GX15OGJ,0.23219331585229624
./data/sample.mp4,237,6.0,"[879, 1526, 1659, 2118]","[1157, 1897, 1374, 1999]",GX15OGJ,0.23449470551703663
./data/sample.mp4,237,12.0,"[1129, 1072, 1624, 1489]","[1299, 1306, 1457, 1388]",KK15ZZK,0.47275909673558136
./data/sample.mp4,238,6.0,"[877, 1532, 1658, 2125]","[1150, 1908, 1370, 1999]",GZ15OGJ,0.35591309958826317
./data/sample.mp4,240,5.0,"[2022, 1158, 2614, 1621]","[2239, 1441, 2436, 1534]",AP05JEO,0.18550427538150208
./data/sample.mp4,241,5.0,"[2022, 1158, 2616, 1622]","[2238, 1441, 2436, 1534]",AP05JEO,0.265397700864492
./data/sample.mp4,242,5.0,"[2023, 1159, 2617, 1623]","[2226, 1442, 2421, 1534]",AP05JEO,0.3820206471490093
./data/sample.mp4,243,5.0,"[2022, 1162, 2616, 1626]","[2237, 1447, 2419, 1538]",AP05JEO,0.21296174529083178
./data/sample.mp4,244,5.0,"[2022, 1166, 2615, 1628]","[2216, 1449, 2428, 1536]",AP05JEQ,0.16147800836618537
./data/sample.mp4,246,6.0,"[856, 1563, 1650, 2153]","[1127, 1940, 1330, 2026]",GY15UGJ,0.15317677619471318
./data/sample.mp4,246,5.0,"[2022, 1171, 2609, 1634]","[2241, 1465, 2437, 1555]",AP05JEO,0.5405208168261436
./data/sample.mp4,247,6.0,"[854, 1565, 1651, 2153]","[1127, 1940, 1330, 2026]",GY15UGJ,0.15317677619471318
./data/sample.mp4,247,5.0,"[2023, 1172, 2609, 1635]","[2241, 1465, 2437, 1555]",AP05JEO,0.5405208168261436
./data/sample.mp4,248,5.0,"[2024, 1174, 2611, 1638]","[2229, 1464, 2427, 1550]",AP05JEQ,0.1697457064328994
./data/sample.mp4,249,6.0,"[848, 1570, 1648, 2153]","[1135, 1950, 1351, 2048]",GY15OGJ,0.13683356663911275
./data/sample.mp4,250,6.0,"[846, 1573, 1647, 2152]","[1138, 1959, 1349, 2053]",GY15OGJ,0.5984639360846616
./data/sample.mp4,252,5.0,"[2024, 1179, 2613, 1648]","[2225, 1468, 2446, 1560]",AP05JEO,0.184796417799866
./data/sample.mp4,253,5.0,"[2025, 1179, 2614, 1649]","[2225, 1468, 2446, 1560]",AP05JEO,0.184796417799866
./data/sample.mp4,254,6.0,"[835, 1587, 1643, 2155]","[1122, 1979, 1341, 2071]",GY15OGJ,0.3211626541838602
./data/sample.mp4,254,5.0,"[2024, 1180, 2613, 1651]","[2225, 1471, 2448, 1558]",AP05JEO,0.3137393235071859
./data/sample.mp4,255,6.0,"[832, 1591, 1642, 2156]","[1131, 1983, 1337, 2077]",GY15OGJ,0.27959581717187426
./data/sample.mp4,255,5.0,"[2024, 1182, 2614, 1653]","[2225, 1476, 2447, 1559]",AP05JEO,0.28654552180941534
./data/sample.mp4,257,6.0,"[826, 1600, 1639, 2157]","[1118, 1991, 1332, 2083]",GX15OGJ,0.3015621025236542
./data/sample.mp4,257,5.0,"[2024, 1188, 2613, 1660]","[2263, 1483, 2444, 1568]",AP05JEO,0.1984166769428047
./data/sample.mp4,258,6.0,"[824, 1605, 1638, 2156]","[1114, 1995, 1339, 2089]",GX15OGJ,0.38792739946352456
./data/sample.mp4,259,6.0,"[824, 1607, 1638, 2155]","[1114, 1996, 1339, 2089]",GX15OGJ,0.3576933572844055
./data/sample.mp4,260,6.0,"[822, 1610, 1638, 2154]","[1118, 2011, 1322, 2099]",GY15OGJ,0.29070026187849257
./data/sample.mp4,261,6.0,"[819, 1614, 1637, 2153]","[1101, 2010, 1319, 2103]",GX15OGJ,0.3319872233719563
./data/sample.mp4,262,6.0,"[816, 1619, 1635, 2154]","[1105, 2019, 1333, 2114]",GX15OGJ,0.5688216626824177
./data/sample.mp4,263,6.0,"[814, 1624, 1634, 2155]","[1094, 2023, 1328, 2115]",GX15OGJ,0.4321459185906602
./data/sample.mp4,264,6.0,"[810, 1630, 1632, 2156]","[1096, 2027, 1334, 2126]",GX15OGJ,0.5664995437059577
./data/sample.mp4,264,5.0,"[2027, 1202, 2629, 1677]","[2230, 1491, 2449, 1581]",AP05JED,0.2528729708353499
